3.56	0.001	3.9	0.009
3.83	0.002	4.6	0.014
3.97	0.003	5.4	0.049
4.17	0.005	6.7	0.07
4.73	0.031	7.6	0.046
5.19	0.037	8.2	0.044
5.47	0.055	9.5	0.168
5.72	0.066	10.2	0.333
6.04	0.083	11.3	0.283
6.73	0.066	12.2	0.106
6.83	0.055	13.4	0.115
7.52	0.05	13.8	0.204
8.52	0.051	14.9	0.467
9.05	0.186	15	0.611
9.8	0.427	16.3	0.607
10.79	0.427	17.1	0.162
10.92	0.422	18	0.192
11.12	0.357	18.9	0.315
11.38	0.228	19.2	0.59
11.88	0.162	19.8	0.848
12.46	0.103	20.2	1.157
12.72	0.083	20.7	0.994
13.35	0.087	21.1	0.603
13.39	0.128	22.1	0.161
14.67	0.521	23.1	0.207
14.79	0.528	23.6	0.465
15.68	0.731	24.5	0.801
16.07	0.528	25	1.331
16.79	0.137	26.4	0.504
17.34	0.115	27.3	0.229
17.55	0.114	27.7	0.26
18.05	0.143	28.7	0.75
18.57	0.26	29	0.774
18.8	0.335	29.5	1.301
19.07	0.491	29.9	1.519
19.99	1.163	31	1.094
21.9	0.298	31.3	0.955
23.5	0.517	32.7	0.386
22.4	0.153	34.1	1.142
24	0.733	35.3	1.637
25.1	1.428	36.2	1.255
26	0.99	37	0.762
26.8	0.415	38.5	0.767
28.1	0.299	39.3	1.454
29.5	1.207	39.7	1.604
30.1	1.57	40.3	1.897
31	1.169	41	1.877
32.5	0.465	42.1	1.406
33.3	0.442	43.3	1.214
34.5	1.108	17.5	0.112
35.4	1.75	17.1	0.162
36.5	1.258	21.9	0.16
37.8	0.749	21.2	0.652
40.5	1.928	21.7	0.161
